model,AVG,NR,SR,NR_AhR,NR_AR,NR_AR_LBD,SR_ARE,NR_Aromatase,SR_ATAD5,NR_ER,NR_ER_LBD,SR_HSE,SR_MMP,SR_p53,NR_PPAR_gamma
DeepTox21,0.846,0.826,0.858,0.928,0.807,0.879,0.840,0.834,0.793,0.810,0.814,0.865,0.942,0.862,0.861
AMAZIZ,0.838,0.816,0.854,0.913,0.770,0.846,0.805,0.819,0.828,0.806,0.806,0.842,0.950,0.843,0.830
dmlab,0.824,0.811,0.850,0.781,0.828,0.819,0.768,0.838,0.800,0.766,0.772,0.855,0.946,0.880,0.831
T,0.823,0.798,0.842,0.913,0.676,0.848,0.801,0.825,0.814,0.784,0.805,0.811,0.937,0.847,0.822
microsomes,0.810,0.785,0.814,0.901,0,0,0.804,0,0.812,0.785,0.827,0,0,0.826,0.717
filipsPL,0.798,0.765,0.817,0.893,0.736,0.743,0.758,0.776,0,0.771,0,0.766,0.928,0.815,0
Charite,0.785,0.750,0.811,0.896,0.688,0.789,0.739,0.781,0.751,0.707,0.798,0.852,0.880,0.834,0.700
RCC,0.772,0.751,0.781,0.872,0.763,0.747,0.761,0.792,0.673,0.781,0.762,0.755,0.920,0.795,0.637
frozenarm,0.771,0.759,0.768,0.865,0.744,0.722,0.700,0.740,0.726,0.745,0.790,0.752,0.859,0.803,0.803
ToxFit,0.763,0.753,0.756,0.862,0.744,0.757,0.697,0.738,0.729,0.729,0.752,0.689,0.862,0.803,0.791
CGL,0.759,0.720,0.791,0.866,0.742,0.566,0.747,0.749,0.737,0.759,0.727,0.775,0.880,0.817,0.738
SuperTox,0.743,0.682,0.768,0.854,0,0.560,0.711,0.742,0,0,0,0,0.862,0.732,0
kibutz,0.741,0.731,0.731,0.865,0.750,0.694,0.708,0.729,0.737,0.757,0.779,0.587,0.838,0.787,0.666
MML,0.734,0.700,0.753,0.871,0.693,0.660,0.701,0.709,0.749,0.750,0.710,0.647,0.854,0.815,0.645
NCI,0.717,0.651,0.791,0.812,0.628,0.592,0.783,0.698,0.714,0.483,0.703,0.858,0.851,0.747,0.736
VIF,0.708,0.702,0.692,0.827,0.797,0.610,0.636,0.671,0.656,0.732,0.735,0.723,0.796,0.648,0.666
ToxicAvg,0.644,0.659,0.607,0.715,0.721,0.611,0.633,0.671,0.593,0.646,0.640,0.465,0.732,0.614,0.682
Swamidass,0.576,0.596,0.593,0.353,0.571,0.748,0.372,0.274,0.391,0.680,0.738,0.711,0.828,0.661,0.585
